TimeUTC,B_NullDistance_km,B_NullDistance_L,B_Type,B_Eta_percent,B_Xi_percent,B_Good,B_Near,V_NullDistance_km,V_NullDistance_L,V_Type,V_Alpha_percent,V_Good,V_Near,ScrewAgreement
2015-10-01T18:01:24.008474Z,3731.990016650275,120.5185935326594,A,6.329903349212807,25.759134916107108,True,False,379.87334757401135,12.267396580887782,B,456.4694862288146,False,False,
2015-10-01T18:01:24.158474Z,3361.76202131844,108.56220947570196,A,4.680691220544865,17.79361321869965,True,False,348.3884661349266,11.250594598788753,B,40.883903380040124,False,False,
2015-10-01T18:01:24.308474Z,4592.369175045666,148.3017373814092,A,3.981347208592197,12.947287828829122,True,False,360.6716982408352,11.647199394174866,B,64.69167709402282,False,False,
2015-10-01T18:01:24.458474Z,7414.098861185556,239.4235719771283,A,1.6436609986684372,5.3812881814703095,True,False,390.06823479418784,12.596477581134355,B,63.99483405013992,False,False,
2015-10-01T18:01:24.608474Z,16058.87097546201,518.5881984095922,A,1.7799088477170444,7.612329451639586,True,False,448.156951492974,14.472306704163556,B,50.0878990905085,False,False,
2015-10-01T18:01:24.758474Z,28233.045062126024,911.7261872912844,A,3.0475577950650203,14.541730707433786,True,False,500.7666562497225,16.171194896636642,B,22.989685151374974,True,False,
2015-10-01T18:01:24.908474Z,30041.311987555302,970.1182859124546,A,3.531298890052354,19.87450499870662,True,False,472.4292969118249,15.256068041395224,B,40.66632476877723,False,False,
2015-10-01T18:01:25.058481Z,384950.5705866667,12431.108302435488,A,2.2332171422829252,20.537159914467527,True,False,536.5641423996142,17.327125805289167,B,20.92205572838147,True,False,
2015-10-01T18:01:25.208481Z,100332.22783347178,3239.9956374016,Bs,1.462128374862341,10.074058703318292,True,False,578.7072220323968,18.688002003003902,B,29.894027289363226,True,False,
2015-10-01T18:01:25.358481Z,86545.88451270574,2794.791913005102,S-,2.709388956734228,14.977530059413912,True,False,502.9445028961801,16.241387297604618,B,25.057494909333617,True,False,
2015-10-01T18:01:25.508481Z,148110.14853485936,4782.852214932127,S-,2.2007009219448324,10.92179755407653,True,False,425.55244886783,13.74216752039951,B,43.67513766901289,False,False,
2015-10-01T18:01:25.658481Z,144682.36229676826,4672.150487395839,S-,1.955240583835993,9.533629408421469,True,False,441.4566251735778,14.255723736651518,B,31.362316727185352,True,False,
2015-10-01T18:01:25.808481Z,104367.60513496034,3370.280417395821,S-,0.7305646326659356,3.2892914655784224,True,False,430.77175001445124,13.91065351709131,B,64.25881668043029,False,False,
2015-10-01T18:01:25.958481Z,54417.25927209465,1757.2601920386567,Bs,0.22239149924958448,0.935443298806133,True,False,371.46921253798564,11.9956070646081,B,57.87666333672929,False,False,
2015-10-01T18:01:26.108486Z,145999.29898150198,4714.647896040099,S-,0.5254146488174992,2.0083911408847284,True,False,347.56747763095893,11.223740720511142,B,159.1975924525017,False,False,
2015-10-01T18:01:26.258486Z,55695.06372951019,1798.515917426186,S-,1.6869900095769919,7.103105540909238,True,False,345.96343851850116,11.171919185601624,B,274.5966074116049,False,False,
2015-10-01T18:01:26.408486Z,152316.84752965474,4918.635165515488,S-,2.1821106219045525,10.641806420642556,True,False,352.558504265714,11.384864413276857,B,370.6144349483302,False,False,
2015-10-01T18:01:26.558486Z,27742.178750693627,895.8521095031962,Bs,1.5573849358579286,10.376079230814485,True,False,374.3619705267569,12.088919332112058,B,257.44330510449737,False,False,
2015-10-01T18:01:26.708486Z,26200.379724390896,846.0624640636813,Bs,2.987499966244858,32.061735856876595,True,False,396.3535114205505,12.799044595547722,B,251.77098019193429,False,False,
2015-10-01T18:01:26.858486Z,89958.59175014912,2904.936059178041,Bs,1.6742068477585654,21.84769448150771,True,False,408.23918479830587,13.18282896183822,B,195.21561223082395,False,False,
2015-10-01T18:01:27.008493Z,19909.074163248595,642.9009697511814,As,2.498351405231961,17.17388159422777,True,False,384.7901398043125,12.425588051077884,B,5.2787552865683605,True,False,
2015-10-01T18:01:27.158493Z,10930.031527763611,352.9502698564052,As,2.949225647201157,14.283787571487183,True,False,349.95530197927013,11.300682706862776,B,442.63567763039777,False,False,
2015-10-01T18:01:27.308493Z,8060.583793119228,260.29012246765916,As,3.058727789807038,13.667477394658036,True,False,317.5730643625086,10.25498077272137,B,37.69396267347647,True,False,
2015-10-01T18:01:27.458493Z,7286.80749812544,235.30305967313953,As,2.778866828857715,12.219740750596515,True,False,309.5861703873127,9.997049207539055,B,200.9803195401958,False,False,
2015-10-01T18:01:27.608493Z,6050.176878865924,195.3698020752753,As,3.6979571126217756,16.528480483987543,True,False,322.448775808124,10.412382112183213,B,74.29021679814521,False,False,
2015-10-01T18:01:27.758493Z,4911.448456578264,158.59812284068767,As,5.3633563237110105,23.16910718747001,True,False,314.1817692024632,10.145406037914881,B,30.739719942898365,True,False,
2015-10-01T18:01:27.908493Z,4250.558800228189,137.25670453851095,As,5.896258084580996,26.4627493113618,True,False,303.35454437700537,9.79575792851847,B,32.784803543897915,True,False,
2015-10-01T18:01:28.058499Z,3853.89325305459,124.44753746800684,As,6.478374176940806,28.31491670327356,True,False,282.2438139983297,9.114042686530206,B,33.04235976840618,True,False,
