TimeUTC,B_NullDistance_km,B_NullDistance_L,B_Type,B_Eta_percent,B_Xi_percent,B_Good,B_Near,V_NullDistance_km,V_NullDistance_L,V_Type,V_Alpha_percent,V_Good,V_Near,B_PoincareIndex,B_PI_Nonzero,V_PoincareIndex,V_PI_Nonzero,ScrewAgreement
2015-10-01 18:01:24,5727.21189061755,184.949107979153,X,3.84615339518938,11.7924796471333,1,0,360.671841746787,11.6471918061117,X,64.691813295822,0,0,0,0,0,0,NaN
2015-10-01 18:01:24,9192.10710077282,296.840499129441,X,1.1647512365731,4.17566991124307,1,0,390.068145670206,12.5964614843864,X,63.9951836522718,0,0,0,0,0,0,NaN
2015-10-01 18:01:24,32630.9726900539,1053.74902179792,X,2.39529892813114,11.0376035008124,1,0,448.157020228372,14.47229373648,X,50.088159212235,0,0,0,0,0,0,NaN
2015-10-01 18:01:24,31307.0505546292,1010.99360060139,X,3.28318810215191,16.3732695282173,1,0,500.766700971544,16.1711793703812,X,22.9897359152506,1,0,0,0,0,0,NaN
2015-10-01 18:01:24,44148.0744153268,1425.66374429652,X,2.98499656029463,18.6744793009535,1,0,472.428989044571,15.2560420891579,X,40.6664381141228,0,0,0,0,0,0,NaN
2015-10-01 18:01:25,83513.9605643778,2696.8917007781,O,1.8255721801454,21.7347238729908,1,0,536.563430377254,17.327084628084,X,20.9220973323695,1,0,0,0,0,0,NaN
2015-10-01 18:01:25,97448.8480723796,3146.88030046495,S-,2.00195589785347,11.4769936475643,1,0,578.706983983565,18.6879747032693,X,29.8941851437097,1,0,0,0,0,0,NaN
2015-10-01 18:01:25,118641.19489812,3831.22901719747,S-,2.57037511804138,13.4989909991093,1,0,502.944234348056,16.2413615803609,X,25.0575528584844,1,0,0,0,0,0,NaN
2015-10-01 18:01:25,326439.574555913,10541.5504545232,S-,2.1065787208478,10.1237130213157,1,0,425.552624703396,13.7421587761482,X,43.6754552914674,0,0,0,0,0,0,NaN
2015-10-01 18:01:25,90218.804422732,2913.3847552396,S-,1.15779318494179,5.68410444115272,1,0,441.456681221073,14.2557105849219,X,31.3625452861361,1,0,0,0,0,0,NaN
2015-10-01 18:01:25,60930.1101213833,1967.57740280327,O,0.624758789684027,2.69094559704358,1,0,430.771809747868,13.9106408463082,X,64.2592079181583,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,86870.9343200426,2805.26209054121,O,0.420550321718929,1.7082490744897,1,0,371.469676774684,11.9956094659062,X,57.8771539276384,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,94591.2243739109,3054.56157680632,S-,0.72381536231331,2.69890922352458,1,0,347.568169930709,11.2237512963629,X,159.199561060989,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,206261.464177239,6660.62864959468,S-,2.07408257148171,9.28661984767291,1,0,345.964308859388,11.1719355649777,X,274.59968894967,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,41935.0288789695,1354.16990676575,O,1.94165723415322,11.5152806644517,1,0,352.559622439425,11.3848885719402,X,370.616014390045,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,38492.3481165352,1242.99592240172,O,2.00354232264116,16.1230022942088,1,0,374.363274109056,12.0889487387396,X,257.444431493081,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,27091.8535440894,874.849011646809,Bs,1.52572491420344,15.2118552266882,1,0,396.354912588915,12.7990764078015,X,251.769051838268,0,0,0,0,0,0,NaN
2015-10-01 18:01:26,26519.7892545914,856.374135321144,O,2.3563598444332,23.3178498775703,1,0,408.240873984579,13.1828696715893,X,195.21466554699,0,0,0,0,0,0,NaN
2015-10-01 18:01:27,13895.1414769554,448.699446307841,O,2.68416254477024,14.4972423587422,1,0,384.791719535071,12.4256260208342,X,5.27835340804017,1,0,0,0,0,0,NaN
2015-10-01 18:01:27,9038.05000708811,291.854495793331,O,2.90682226761374,13.4640953765256,1,0,349.956488088932,11.3007091464087,X,442.638127334159,0,0,0,0,0,0,NaN
2015-10-01 18:01:27,7981.02997209007,257.720922151997,O,2.80971524132905,12.5141090133318,1,0,317.57416765855,10.2550056354669,X,37.6942549556883,1,0,0,0,0,0,NaN
2015-10-01 18:01:27,6609.6210661951,213.435366309677,O,2.99839879820068,13.2703111651972,1,0,309.587267941514,9.99707415540948,X,200.978433292185,0,0,0,0,0,0,NaN
2015-10-01 18:01:27,5638.03779328735,182.06098657154,O,4.42101117129925,19.2227029588233,1,0,322.449963238707,10.412409526075,X,74.2901414810909,0,0,0,0,0,0,NaN
2015-10-01 18:01:27,4522.27935078259,146.031108630934,O,5.50284629496318,24.8446750230316,1,0,314.182932290306,10.1454329457404,X,30.7397644036191,1,0,0,0,0,0,NaN
2015-10-01 18:01:27,4026.13160422859,130.009488610957,O,6.50830854101388,29.5208578615794,1,0,303.35564173174,9.79578308055549,B,32.7846517842712,1,0,0,0,0,0,NaN
2015-10-01 18:01:28,3818.0722767394,123.290699227885,O,6.81771133771071,29.558166010531,1,0,282.244893028334,9.11406796224412,B,33.0423133777442,1,0,0,0,0,0,NaN
2015-10-01 18:01:28,3506.58585546232,113.232144878286,O,6.30528882652235,27.7621499042356,1,0,280.411644287353,9.05485085501142,B,16.8568174916586,1,0,0,0,0,0,NaN
2015-10-01 18:01:28,3463.29614645415,111.834029676753,O,5.99505189551732,28.459027713697,1,0,253.615636249943,8.18955624684413,B,13.0949161478105,1,0,0,0,0,0,NaN
2015-10-01 18:01:28,3545.05888281484,114.474006869969,O,6.32051782067673,27.2026604011785,1,0,229.216212804405,7.40165373457642,Bs,83.8300910525045,0,0,0,0,0,0,NaN
2015-10-01 18:01:28,3716.23727856683,120.001300823035,O,7.79536821694222,30.7829358739507,1,0,228.988141319775,7.39427350075431,Bs,243.953091358092,0,0,0,0,0,0,NaN
2015-10-01 18:01:28,3892.46070147522,125.691480545124,O,8.92411316129011,34.0168981276558,1,0,221.221274237199,7.14345798697828,Bs,293.052657825907,0,0,0,0,0,0,NaN
2015-10-01 18:01:29,3757.47235820115,121.332315761767,O,9.34519830728164,33.5027321459671,1,0,210.904335581642,6.81029931849404,Bs,129.154629440365,0,0,0,0,0,0,NaN
2015-10-01 18:01:29,3514.59092166771,113.489207177016,O,10.15451773907,36.2454709600451,1,0,198.998231564444,6.42582651387504,Bs,97.1867974220976,0,0,0,0,0,0,NaN
2015-10-01 18:01:29,3121.43917631344,100.793782405924,O,9.55949500635374,32.9889907790904,1,0,222.831608602956,7.19541192444914,Bs,81.8133856946725,0,0,0,0,0,0,NaN
2015-10-01 18:01:29,2414.62335244101,77.9699668479869,O,13.6145703371962,46.5355368816996,0,0,223.349227801262,7.21211110195844,Bs,51.5319741516905,0,0,0,0,0,0,NaN
2015-10-01 18:01:29,2101.86352219153,67.8705788318611,O,13.1415742237894,52.6497776162154,0,0,237.614773042062,7.67273993534603,Bs,38.2600336645604,1,0,0,0,0,0,NaN
2015-10-01 18:01:29,1181.87884331325,38.1635780385223,O,11.4902096971276,48.7061185534674,0,0,231.398476499704,7.47199585292099,Bs,23.1911620847036,1,0,0,0,0,0,NaN
2015-10-01 18:01:29,940.984092150642,30.38487788593,O,12.0597058196471,52.2553683325994,0,0,306.986892996009,9.91277040076839,O,29.6557012874754,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,1788.24776441543,57.7433520485442,O,13.8605575650665,68.687308167516,0,0,311.299562853023,10.0520076736996,O,46.5042388354358,0,0,0,0,0,0,NaN
2015-10-01 18:01:30,1948.05731623572,62.9035445468946,S-,14.008954162951,79.785522413314,0,0,306.962240514855,9.91193267750049,O,30.5257282326345,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,2096.48921257746,67.6963271012172,O,12.5490664084954,65.6584613121829,0,0,347.123599136832,11.208735332737,O,24.6394431658619,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,1871.31583140975,60.4252774159208,O,12.8944434637669,72.677787941216,0,0,474.849518523908,15.3330150934532,O,16.3294197546016,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,1588.31758772635,51.2870823033252,O,12.2617000237899,66.1880050170662,0,0,431.226488120538,13.9243867589926,O,38.1995429707659,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,1214.3666852741,39.2120528394809,O,12.3310294284404,67.3562649574485,0,0,1138.25589912071,36.7544259920945,O,27.3893704918633,1,0,0,0,0,0,NaN
2015-10-01 18:01:30,1063.05510886241,34.3261108480132,S-,12.6320089900511,66.9828058693032,0,0,2273.08798444842,73.3981422703102,O,26.9150281519124,1,0,0,0,0,0,NaN
2015-10-01 18:01:31,922.600922659114,29.790774420103,S-,12.1919205045137,67.1411880001778,0,0,3504.08349307942,113.146820394093,O,10.3575360606329,1,0,0,0,0,0,NaN
2015-10-01 18:01:31,880.249929944762,28.4232015276562,S-,10.6918249747673,53.563664380487,0,0,7603.96891838114,245.531562826416,O,9.8215829630494,1,0,0,0,0,0,NaN
2015-10-01 18:01:31,5571.50076272003,179.902946426045,O,10.7997921227233,51.9903161443611,0,0,16723.0006042301,539.983248663644,S+,4.17957876319135,1,0,0,0,0,0,NaN
2015-10-01 18:01:31,3716.32366854459,119.999296491258,O,12.0743964696115,57.5484184001314,0,0,3411.64243977791,110.161204772941,O,7.35427823410248,1,0,0,0,0,0,NaN
