EpochUTC,BR_daily_nT,BT_daily_nT,BN_daily_nT,BMeanMagnitude_nT,BAzimuth_R_to_T_deg,BElevation_deg,MAGVectorSampleCount,MAGDirectionRMS_deg,LECPMinimumSectorSampleCount,LECPRequiredSampleCount,LECPCoverageFraction,ValidActiveSectorCount,PitchAngleSpan_deg,MedianRelativeUncertainty,PADUsable,PADQuality,Mu_S1,PA_S1_deg,RawFlux_S1_1d,Flux_S1_1d,FluxUncertainty_S1_1d,Samples_S1_1d,Mu_S2,PA_S2_deg,RawFlux_S2_1d,Flux_S2_1d,FluxUncertainty_S2_1d,Samples_S2_1d,Mu_S3,PA_S3_deg,RawFlux_S3_1d,Flux_S3_1d,FluxUncertainty_S3_1d,Samples_S3_1d,Mu_S4,PA_S4_deg,RawFlux_S4_1d,Flux_S4_1d,FluxUncertainty_S4_1d,Samples_S4_1d,Mu_S5,PA_S5_deg,RawFlux_S5_1d,Flux_S5_1d,FluxUncertainty_S5_1d,Samples_S5_1d,Mu_S6,PA_S6_deg,RawFlux_S6_1d,Flux_S6_1d,FluxUncertainty_S6_1d,Samples_S6_1d,Mu_S7,PA_S7_deg,RawFlux_S7_1d,Flux_S7_1d,FluxUncertainty_S7_1d,Samples_S7_1d,Mu_S8,PA_S8_deg,RawFlux_S8_1d,Flux_S8_1d,FluxUncertainty_S8_1d,Samples_S8_1d,S8_Diagnostic_Flux_1d,SourceToDifferentialFluxFactor,BackgroundCorrectionMode,BackgroundCorrectionApplied,PitchAngleMethod,SectorAxisAssumption
2013-01-02 12:00:00,0.203499998897314,-0.497125003486872,0.182749999687076,0.567400282894409,292.261924577422,18.7889442994653,8,0.285584603383063,1,1,1,7,142.419203768952,0.0474152539082083,1,usable,-0.00393376399140917,90.2253886556069,0.11599999666214,0.11599999666214,0.00526000000536442,1,-0.672201881555609,132.237235383051,0.112999998033047,0.112999998033047,0.005472999997437,1,-0.946703253557247,161.209601884476,0.118000000715256,0.118000000715256,0.00559499999508262,1,-0.666638699167784,131.808165060294,0.368999987840652,0.368999987840652,0.00990600045770407,1,0.00393376399140917,89.7746113443931,0.118000000715256,0.118000000715256,0.00575200002640486,1,0.672201881555609,47.7627646169486,0.125,0.125,0.00589699996635318,1,0.946703253557247,18.7903981155241,0.11599999666214,0.11599999666214,0.00556800002232194,1,0.666638699167784,48.1918349397061,0.119999997317791,0.119999997317791,0.00564600015059114,1,0.119999997317791,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-03 12:00:00,0.199571430683136,-0.489285715988704,0.180999998535429,0.558560889505628,292.189722887619,18.9078497232684,7,0.429272000933894,1,1,1,7,142.179395423145,0.0546341443986688,1,usable,-0.00512312475396583,90.2935347103694,0.123000003397465,0.123000003397465,0.00671999994665384,1,-0.67256477407281,132.265325254309,0.135000005364418,0.135000005364418,0.00743399979546666,1,-0.946027100314199,161.089697711572,0.119000002741814,0.119000002741814,0.00673699984326959,1,-0.665319581564022,131.706847490086,0.391999989748001,0.391999989748001,0.0121999997645617,1,0.00512312475396583,89.7064652896306,0.12899999320507,0.12899999320507,0.00699200015515089,1,0.67256477407281,47.7346747456908,0.128000006079674,0.128000006079674,0.00696999998763204,1,0.946027100314199,18.9103022884276,0.133000001311302,0.133000001311302,0.00767400022596121,1,0.665319581564022,48.2931525099139,0.143999993801117,0.143999993801117,0.00797600019723177,1,0.143999993801117,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-04 12:00:00,0.199357142405851,-0.491428575345448,0.182428569665977,0.560825728657894,292.080849740751,18.9828827632218,14,0.448501432942762,1,1,1,7,142.025321643844,0.0509764719870882,1,usable,-0.00691763991652665,90.3963547326273,0.163000002503395,0.163000002503395,0.00847799982875586,1,-0.673524960836614,132.33970943434,0.172999992966652,0.172999992966652,0.00876700039952993,1,-0.94559049429542,161.012660821922,0.18299999833107,0.18299999833107,0.00900499988347292,1,-0.663741940647048,131.585882748665,0.479000002145767,0.479000002145767,0.014580000191927,1,0.00691763991652665,89.6036452673727,0.170000001788139,0.170000001788139,0.00866600032895803,1,0.673524960836614,47.6602905656596,0.153999999165535,0.153999999165535,0.00825500022619963,1,0.94559049429542,18.9873391780779,0.178000003099442,0.178000003099442,0.00927300006151199,1,0.663741940647048,48.4141172513348,0.177000001072884,0.177000001072884,0.00969699956476688,1,0.177000001072884,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-05 12:00:00,0.196099999547005,-0.486100000143051,0.175000002980232,0.552606026934643,291.969884157145,18.46234308901,10,0.406900186656716,1,1,1,7,143.060625843597,0.0455631078281297,1,usable,-0.00877594594355876,90.5028311183848,0.087739996612072,0.087739996612072,0.00452399998903275,1,-0.676890228735594,132.60110989548,0.103000000119209,0.103000000119209,0.00469300011172891,1,-0.948491395772145,161.530312921798,0.0966000035405159,0.0966000035405159,0.00463399989530444,1,-0.66447916695956,131.642380901923,0.321999996900558,0.321999996900558,0.00844299979507923,1,0.00877594594355876,89.4971688816152,0.112999998033047,0.112999998033047,0.00500999996438622,1,0.676890228735594,47.3988901045205,0.101000003516674,0.101000003516674,0.0048420000821352,1,0.948491395772145,18.4696870782017,0.118000000715256,0.118000000715256,0.00522499997168779,1,0.66447916695956,48.3576190980769,0.111000001430511,0.111000001430511,0.00495600001886487,1,0.111000001430511,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-06 12:00:00,0.195249993354082,-0.485750004649162,0.175999999046326,0.552314789396171,291.897943052918,18.5818375703382,4,0.44401352365581,1,1,1,7,142.817511557267,0.0457886650317226,1,usable,-0.00995991158178582,90.5706703332925,0.0653000026941299,0.0653000026941299,0.0029899999499321,1,-0.677250649028547,132.6291708429,0.0587599985301495,0.0587599985301495,0.00294700008817017,1,-0.947817141400367,161.408755778633,0.0691599994897842,0.0691599994897842,0.00311199994757771,1,-0.663165206989549,131.541718572676,0.209000006318092,0.209000006318092,0.00537799997255206,1,0.00995991158178582,89.4293296667075,0.0722599998116493,0.0722599998116493,0.00318400003015995,1,0.677250649028547,47.3708291571004,0.0629199966788292,0.0629199966788292,0.00304699991829693,1,0.947817141400367,18.5912442213667,0.0640999972820282,0.0640999972820282,0.0030749998986721,1,0.663165206989549,48.4582814273239,0.0681099966168404,0.0681099966168404,0.00325600011274219,1,0.0681099966168404,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-07 12:00:00,0.195624999701977,-0.476500000804663,0.173499997705221,0.543528877318357,292.320388093322,18.6151718726136,8,0.388993510265995,1,1,1,7,142.767984684982,0.1040696734807,1,usable,-0.00297081282172188,90.1702152867876,0.0507499985396862,0.0507499985396862,0.00571699999272823,1,-0.672211113134039,132.237949802835,0.0587599985301495,0.0587599985301495,0.00625299988314509,1,-0.947679260150351,161.383992342491,0.0487399995326996,0.0487399995326996,0.00569699984043837,1,-0.668009749350288,131.913641527008,0.202000007033348,0.202000007033348,0.0115999998524785,1,0.00297081282172188,89.8297847132124,0.061429999768734,0.061429999768734,0.00639300001785159,1,0.672211113134039,47.7620501971651,0.0747900009155273,0.0747900009155273,0.00705800019204617,1,0.947679260150351,18.6160076575092,0.0627700015902519,0.0627700015902519,0.00646300008520484,1,0.668009749350288,48.0863584729918,0.0727799981832504,0.0727799981832504,0.00780100002884865,1,0.0727799981832504,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-08 12:00:00,0.192800003290176,-0.483399999141693,0.181599998474121,0.551204100025283,291.74416725121,19.2360355284152,5,0.208716479844133,1,1,1,7,141.49936528091,0.0753031300522171,1,usable,-0.0124549036710848,90.7136318657188,0.0584199987351894,0.0584199987351894,0.0041899997740984,1,-0.67637740391771,132.561205081865,0.0551999993622303,0.0551999993622303,0.00442499993368983,1,-0.944087194232046,160.749682640455,0.0551999993622303,0.0551999993622303,0.00442499993368983,1,-0.658763510228012,131.205639098165,0.207000002264977,0.207000002264977,0.00858199968934059,1,0.0124549036710848,89.2863681342812,0.0626799985766411,0.0626799985766411,0.00472000008448958,1,0.67637740391771,47.4387949181346,0.065530002117157,0.065530002117157,0.00482199992984533,1,0.944087194232046,19.2503173595452,0.0626799985766411,0.0626799985766411,0.00472000008448958,1,0.658763510228012,48.7943609018352,0.0644399970769882,0.0644399970769882,0.00486300000920892,1,0.0644399970769882,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-09 12:00:00,0.195624997839332,-0.485374998301268,0.179624998942018,0.553283985852215,291.951351375682,18.9445198270283,8,0.374165474692529,1,1,1,7,142.095657432403,0.0943673786975281,1,usable,-0.00905690190018262,90.5189293489198,0.0847399979829788,0.0847399979829788,0.00734800007194281,1,-0.675178733608701,132.468031433021,0.066770002245903,0.066770002245903,0.00769999995827675,1,-0.945790020195134,161.047828716201,0.0450199991464615,0.0450199991464615,0.00585300009697676,1,-0.66237034010838,131.480899923698,0.221000000834465,0.221000000834465,0.0129599999636412,1,0.00905690190018262,89.4810706510802,0.0679199993610382,0.0679199993610382,0.00718400022014976,1,0.675178733608701,47.5319685669786,0.0598299987614155,0.0598299987614155,0.00564600015059114,1,0.945790020195134,18.9521712837986,0.063570000231266,0.063570000231266,0.00582000007852912,1,0.66237034010838,48.5191000763022,0.0657100006937981,0.0657100006937981,0.00591300008818507,1,0.0657100006937981,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-10 12:00:00,0.191999999185403,-0.479833334684372,0.177666669090589,0.546506609353688,291.808271527742,18.9713420428678,6,0.467766332502857,1,1,1,7,142.03303059537,0.0732827425623115,1,usable,-0.0114168756312087,90.654153000353,0.0655599981546402,0.0655599981546402,0.00566500006243587,1,-0.676721876550658,132.588006967104,0.063510000705719,0.063510000705719,0.00613299990072846,1,-0.945612380141303,161.016515297685,0.0807199999690056,0.0807199999690056,0.00691200001165271,1,-0.660575976193076,131.343814813599,0.237000003457069,0.237000003457069,0.0102300001308322,1,0.0114168756312087,89.345846999647,0.0764300003647804,0.0764300003647804,0.00560100004076958,1,0.676721876550658,47.4119930328956,0.0873799994587898,0.0873799994587898,0.00576099986210465,1,0.945612380141303,18.983484702315,0.0847100019454956,0.0847100019454956,0.00567799992859364,1,0.660575976193076,48.6561851864007,0.0888999998569489,0.0888999998569489,0.00580700021237135,1,0.0888999998569489,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-11 12:00:00,0.19649999961257,-0.479249998927116,0.174874998629093,0.546693768452601,292.294396772839,18.655512643431,8,0.671858922685292,1,1,1,7,142.686789462355,0.0792254843721639,1,usable,-0.00339990480434133,90.194800571331,0.0711600035429001,0.0711600035429001,0.00607099989429116,1,-0.672354418258219,132.249041036554,0.0849400013685226,0.0849400013685226,0.00672899978235364,1,-0.947452832217904,161.343394731177,0.0828000009059906,0.0828000009059906,0.00663700001314282,1,-0.667546226773142,131.877962727916,0.248999997973442,0.248999997973442,0.0109799997881055,1,0.00339990480434133,89.805199428669,0.0844999998807907,0.0844999998807907,0.00639000022783875,1,0.672354418258219,47.7509589634461,0.0670199990272522,0.0670199990272522,0.00569600006565452,1,0.947452832217904,18.6566052688227,0.0772100016474724,0.0772100016474724,0.00611699977889657,1,0.667546226773142,48.1220372720845,0.0712300017476082,0.0712300017476082,0.00561999995261431,1,0.0712300017476082,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-01-12 12:00:00,0.194999996572733,-0.487750001251698,0.179999999701977,0.555270260573271,291.791281686179,18.9150834193355,4,0.243321118031247,1,1,1,7,142.144259034587,0.0623495837065842,1,usable,-0.0117012190335018,90.6704457657791,0.109999999403954,0.109999999403954,0.0064229997806251,1,-0.677145890635266,132.621013450896,0.0862900018692017,0.0862900018692017,0.00594600010663271,1,-0.945927683208099,161.072129517293,0.091169998049736,0.091169998049736,0.0056839999742806,1,-0.660597867981789,131.345485553281,0.275000005960464,0.275000005960464,0.00986700039356947,1,0.0117012190335018,89.3295542342209,0.0980599969625473,0.0980599969625473,0.00611399998888373,1,0.677145890635266,47.3789865491035,0.0934799984097481,0.0934799984097481,0.00596000021323562,1,0.945927683208099,18.9278704827066,0.0919599980115891,0.0919599980115891,0.00591999990865588,1,0.660597867981789,48.6545144467189,0.0961500033736229,0.0961500033736229,0.00614499999210238,1,0.0961500033736229,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
