EpochUTC,BR_daily_nT,BT_daily_nT,BN_daily_nT,BMeanMagnitude_nT,BAzimuth_R_to_T_deg,BElevation_deg,MAGVectorSampleCount,MAGDirectionRMS_deg,LECPMinimumSectorSampleCount,LECPRequiredSampleCount,LECPCoverageFraction,ValidActiveSectorCount,PitchAngleSpan_deg,MedianRelativeUncertainty,PADUsable,PADQuality,Mu_S1,PA_S1_deg,RawFlux_S1_1d,Flux_S1_1d,FluxUncertainty_S1_1d,Samples_S1_1d,Mu_S2,PA_S2_deg,RawFlux_S2_1d,Flux_S2_1d,FluxUncertainty_S2_1d,Samples_S2_1d,Mu_S3,PA_S3_deg,RawFlux_S3_1d,Flux_S3_1d,FluxUncertainty_S3_1d,Samples_S3_1d,Mu_S4,PA_S4_deg,RawFlux_S4_1d,Flux_S4_1d,FluxUncertainty_S4_1d,Samples_S4_1d,Mu_S5,PA_S5_deg,RawFlux_S5_1d,Flux_S5_1d,FluxUncertainty_S5_1d,Samples_S5_1d,Mu_S6,PA_S6_deg,RawFlux_S6_1d,Flux_S6_1d,FluxUncertainty_S6_1d,Samples_S6_1d,Mu_S7,PA_S7_deg,RawFlux_S7_1d,Flux_S7_1d,FluxUncertainty_S7_1d,Samples_S7_1d,Mu_S8,PA_S8_deg,RawFlux_S8_1d,Flux_S8_1d,FluxUncertainty_S8_1d,Samples_S8_1d,S8_Diagnostic_Flux_1d,SourceToDifferentialFluxFactor,BackgroundCorrectionMode,BackgroundCorrectionApplied,PitchAngleMethod,SectorAxisAssumption
2013-12-22 12:00:00,0.171777779857318,-0.394111110104455,0.177222225401137,0.465014935175857,293.550523684123,22.4025066739997,9,0.416920983592738,1,1,1,7,135.148285058387,0.0421450138238658,1,usable,0.0169503859041341,89.0287679144364,0.256999999284744,0.256999999284744,0.0111699998378754,1,-0.641645364891597,129.914619915731,0.275999993085861,0.275999993085861,0.0121299996972084,1,-0.924373963167664,157.574142529194,0.303000003099442,0.303000003099442,0.0126799996942282,1,-0.665616830524682,131.729664362501,0.824999988079071,0.824999988079071,0.020889999344945,1,-0.0169503859041341,90.9712320855636,0.300999999046326,0.300999999046326,0.0126599995419383,1,0.641645364891597,50.0853800842686,0.32600000500679,0.32600000500679,0.0138699999079108,1,0.924373963167664,22.4258574708063,0.331000000238419,0.331000000238419,0.0139499995857477,1,0.665616830524682,48.2703356374993,0.277999997138977,0.277999997138977,0.0121799996122718,1,0.277999997138977,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-23 12:00:00,0.172599998116493,-0.393199998140335,0.177000001072884,0.464463129071807,293.699666010958,22.4009155341081,5,0.436051914738532,1,1,1,7,135.13727051459,0.0229569884813496,1,usable,0.0193567155588672,88.8908726241294,0.541999995708466,0.541999995708466,0.0126200001686811,1,-0.63991790124196,129.785697874554,0.578000009059906,0.578000009059906,0.0129899997264147,1,-0.924337290300573,157.568635257295,0.565999984741211,0.565999984741211,0.0129000004380941,1,-0.667292430908308,131.858435694797,1.37000000476837,1.37000000476837,0.0195199996232986,1,-0.0193567155588672,91.1091273758706,0.559000015258789,0.559000015258789,0.0128399999812245,1,0.63991790124196,50.2143021254464,0.558000028133392,0.558000028133392,0.012810000218451,1,0.924337290300573,22.4313647427052,0.550000011920929,0.550000011920929,0.0127199999988079,1,0.667292430908308,48.1415643052026,0.559000015258789,0.559000015258789,0.0128399999812245,1,0.559000015258789,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-24 12:00:00,0.17119999974966,-0.390200001001358,0.181000000238419,0.462954080640889,293.689432864576,23.0147135746044,10,0.566477102620518,1,1,1,7,133.912480273339,0.0459235650419529,1,usable,0.0191057826520136,88.9052526800834,0.333000004291534,0.333000004291534,0.0120700001716614,1,-0.637174189236171,129.581427189388,0.34799998998642,0.34799998998642,0.0152200004085898,1,-0.920206162663888,156.95624013667,0.303999990224838,0.303999990224838,0.014189999550581,1,-0.664193846182401,131.620509157883,0.851000010967255,0.851000010967255,0.0236600004136562,1,-0.0191057826520136,91.0947473199166,0.314000010490417,0.314000010490417,0.0144199999049306,1,0.637174189236171,50.4185728106122,0.296000003814697,0.296000003814697,0.0140399998053908,1,0.920206162663888,23.0437598633304,0.307000011205673,0.307000011205673,0.014299999922514,1,0.664193846182401,48.3794908421167,0.319999992847443,0.319999992847443,0.0142000000923872,1,0.319999992847443,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-25 12:00:00,0.167500000447035,-0.38374999910593,0.182250000536442,0.456656736136774,293.580407095866,23.5216941664004,4,0.364424125075491,1,1,1,7,132.90982907092,0.0289041935616275,1,usable,0.0172888181776971,89.0093743312661,0.181999996304512,0.181999996304512,0.00542199984192848,1,-0.636012286033548,129.495104327979,0.167999997735023,0.167999997735023,0.00455400021746755,1,-0.916746018922257,156.45491453546,0.167999997735023,0.167999997735023,0.004763999953866,1,-0.66046236717785,131.335145077951,0.444000005722046,0.444000005722046,0.00763900019228458,1,-0.0172888181776971,90.9906256687338,0.143999993801117,0.143999993801117,0.00437200022861362,1,0.636012286033548,50.5048956720208,0.166999995708466,0.166999995708466,0.00482700020074844,1,0.916746018922257,23.5450854645399,0.158999994397163,0.158999994397163,0.00470799999311566,1,0.66046236717785,48.6648549220493,0.158000007271767,0.158000007271767,0.00457999994978309,1,0.158000007271767,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-26 12:00:00,0.165454544804313,-0.381545454263687,0.175818181850693,0.451513203721629,293.443632471562,22.9170248095512,11,0.651849003374425,1,1,1,7,134.129204571038,0.0550769241908364,1,usable,0.0151688663992511,89.130854642223,0.164000004529953,0.164000004529953,0.00881899986416101,1,-0.640480323559076,129.827645347842,0.197999998927116,0.197999998927116,0.0108099998906255,1,-0.920944826409604,157.064602285519,0.194000005722046,0.194000005722046,0.0107100000604987,1,-0.661932340146722,131.447411065292,0.549000024795532,0.549000024795532,0.0180099997669458,1,-0.0151688663992511,90.869145357777,0.19200000166893,0.19200000166893,0.010669999755919,1,0.640480323559076,50.1723546521578,0.193000003695488,0.193000003695488,0.010669999755919,1,0.920944826409604,22.9353977144813,0.194999992847443,0.194999992847443,0.0107399998232722,1,0.661932340146722,48.5525889347083,0.18299999833107,0.18299999833107,0.0109599996358156,1,0.18299999833107,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-27 12:00:00,0.179000005125999,-0.39300000667572,0.184000000357628,0.469410275999398,294.487876663712,23.077831357798,1,0,1,1,1,7,133.682750915613,0.0314214038488853,1,usable,0.0319120614674778,88.1712630813282,0.349000006914139,0.349000006914139,0.0108500001952052,1,-0.627562584696992,128.870522516862,0.282000005245209,0.282000005245209,0.00966500025242567,1,-0.919419579983879,156.841375457807,0.29899999499321,0.29899999499321,0.00939499959349632,1,-0.672693054827583,132.275257882563,0.740000009536743,0.740000009536743,0.0146899996325374,1,-0.0319120614674778,91.8287369186718,0.293999999761581,0.293999999761581,0.0093189999461174,1,0.627562584696992,51.1294774831382,0.303999990224838,0.303999990224838,0.00945799984037876,1,0.919419579983879,23.1586245421934,0.287999987602234,0.287999987602234,0.00921100005507469,1,0.672693054827583,47.7247421174366,0.298000007867813,0.298000007867813,0.009358000010252,1,0.298000007867813,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-28 12:00:00,0.170571429388864,-0.396714287144797,0.186571429882731,0.470410179095916,293.265789414886,23.3666953642028,7,0.560795372782225,1,1,1,7,133.242925379878,0.168716578967625,1,usable,0.012269010381146,89.2970198491677,0.170000001788139,0.170000001788139,0.0182300005108118,1,-0.640380169206566,129.820173603548,0.112000003457069,0.112000003457069,0.0244500003755093,1,-0.91790333074785,156.621462689939,0.187000006437302,0.187000006437302,0.0315500013530254,1,-0.657731170084479,131.127067614543,0.331000000238419,0.331000000238419,0.0420200005173683,1,-0.012269010381146,90.7029801508323,0.202999994158745,0.202999994158745,0.0329199992120266,1,0.640380169206566,50.1798263964521,0.143999993801117,0.143999993801117,0.0277399998158216,1,0.91790333074785,23.378537310061,0.155000001192093,0.155000001192093,0.0287599992007017,1,0.657731170084479,48.8729323854573,NaN,NaN,NaN,0,NaN,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-29 12:00:00,0.172999998554587,-0.404999997466803,0.187750000506639,0.478752608492362,293.130259221104,23.0892771581314,8,0.3892050480924,1,1,1,7,133.805186132321,0.0435698927332727,1,usable,0.010118730560805,89.4202295508909,0.199000000953674,0.199000000953674,0.00937400013208389,1,-0.643269550113773,130.036055932384,0.167999997735023,0.167999997735023,0.00773799978196621,1,-0.919839252593342,156.902593066161,0.186000004410744,0.186000004410744,0.00810400024056435,1,-0.657579596106863,131.115539231271,0.544000029563904,0.544000029563904,0.0138600002974272,1,-0.010118730560805,90.5797704491091,0.180000007152557,0.180000007152557,0.00798099953681231,1,0.643269550113773,49.9639440676165,0.197999998927116,0.197999998927116,0.00836899969726801,1,0.919839252593342,23.0974069338394,0.190999999642372,0.190999999642372,0.00823200028389692,1,0.657579596106863,48.8844607687287,0.185000002384186,0.185000002384186,0.0083229998126626,1,0.185000002384186,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-30 12:00:00,0.17589999884367,-0.393599998950958,0.180299998819828,0.467300608111981,294.079887050409,22.6954640959901,10,0.473245672924876,1,1,1,7,134.505024677379,0.0339204143688028,1,usable,0.025435896972188,88.5424732602562,0.414000004529953,0.414000004529953,0.0125000001862645,1,-0.634120655040393,129.354795566233,0.28600001335144,0.28600001335144,0.0097460001707077,1,-0.922217927511222,157.252512338689,0.303000003099442,0.303000003099442,0.0100299995392561,1,-0.670092445509586,132.074200191522,0.778999984264374,0.778999984264374,0.0165599994361401,1,-0.025435896972188,91.4575267397437,0.279000014066696,0.279000014066696,0.00962700042873621,1,0.634120655040393,50.6452044337667,0.28099998831749,0.28099998831749,0.00967499986290932,1,0.922217927511222,22.7474876613106,0.289000004529953,0.289000004529953,0.00980299990624189,1,0.670092445509586,47.9257998084783,0.284999996423721,0.284999996423721,0.00979300029575825,1,0.284999996423721,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
2013-12-31 12:00:00,0.173799994587898,-0.38740000128746,0.178200003504753,0.460478490665277,294.162525298225,22.7672609902293,5,0.285514423766973,0,1,0,0,NaN,NaN,0,excluded: insufficient per-sector samples (0<1); only 0/7 active sectors valid after selected background handling,0.0267519456589788,88.4670435352645,NaN,NaN,NaN,0,-0.632821205588557,129.258574036066,NaN,NaN,NaN,0,-0.921696277159609,157.175339550762,NaN,NaN,NaN,0,-0.670654169959353,132.117574048067,NaN,NaN,NaN,0,-0.0267519456589788,91.5329564647355,NaN,NaN,NaN,0,0.632821205588557,50.7414259639337,NaN,NaN,NaN,0,0.921696277159609,22.8246604492381,NaN,NaN,NaN,0,0.670654169959353,47.8824259519329,NaN,NaN,NaN,0,NaN,1,none,0,Florinski et al. (2008) angle construction: per-sector 24 h mean; mu=vhat dot <B>/|<B>|; nominal scan plane parallel to RT; no SEDR correction; public source values retained without background correction,eight 45-deg nominal look axes; scan plane parallel to RT
