Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,Status,MAGFile,MAGRecords,PLSFile,PLSRecords,COHOFile,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,FigureFile,Notes,MAGLowPrecisionFilled,MAGInterpolated,COHOInterpolated
1,2013-06-01,2013-06-01,2013-07-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,29051,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\06\voyager1_coho1hr_merged_mag_plasma_20130601_v01.cdf,0,3,1136,15,9090,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-06.png,,98656,0,4149
1,2013-07-01,2013-07-01,2013-08-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,25696,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\07\voyager1_coho1hr_merged_mag_plasma_20130701_v01.cdf,0,3,867,15,8190,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-07.png,,119060,0,6050
1,2013-08-01,2013-08-01,2013-09-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,22320,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\08\voyager1_coho1hr_merged_mag_plasma_20130801_v01.cdf,0,3,1021,15,8550,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-08.png,,132096,0,5816
1,2013-09-01,2013-09-01,2013-10-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,21234,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\09\voyager1_coho1hr_merged_mag_plasma_20130901_v01.cdf,0,3,1023,15,8010,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-09.png,,129632,0,5817
1,2013-10-01,2013-10-01,2013-11-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,19461,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\10\voyager1_coho1hr_merged_mag_plasma_20131001_v01.cdf,0,3,865,15,7650,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-10.png,,144016,0,6947
1,2013-11-01,2013-11-01,2013-12-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,12756,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\11\voyager1_coho1hr_merged_mag_plasma_20131101_v01.cdf,0,3,642,15,7380,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-11.png,,163820,0,7388
1,2013-12-01,2013-12-01,2014-01-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,13786,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\12\voyager1_coho1hr_merged_mag_plasma_20131201_v01.cdf,0,3,663,15,6300,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-12.png,,166960,0,8979
1,2014-01-01,2014-01-01,2014-02-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,12624,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\01\voyager1_coho1hr_merged_mag_plasma_20140101_v01.cdf,0,3,642,15,6120,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-01.png,,171848,0,9265
1,2014-02-01,2014-02-01,2014-03-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,11346,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\02\voyager1_coho1hr_merged_mag_plasma_20140201_v01.cdf,0,3,523,15,5670,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-02.png,,155464,0,8303
1,2014-03-01,2014-03-01,2014-04-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,15659,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\03\voyager1_coho1hr_merged_mag_plasma_20140301_v01.cdf,0,3,621,15,6120,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-03.png,,159848,0,9146
