2026-01-19T17:00:00.000Z,51,51,2061,8.42,-6.25,4.26,-3.68,428.4,-423.8,-51.0,36.1,3.75,42582,1.38,607,-20
2026-01-19T17:01:00.000Z,51,51,2093,8.32,-6.02,4.42,-3.67,428.4,-423.8,-51.0,36.1,3.75,42582,1.38,589,-20
2026-01-19T17:02:00.000Z,51,51,2124,8.29,-5.96,4.54,-3.55,428.4,-423.8,-51.0,36.1,3.75,42582,1.38,563,-21
2026-01-19T17:03:00.000Z,51,99,2155,8.34,-5.75,4.72,-3.75,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,614,-20
2026-01-19T17:04:00.000Z,51,51,2187,8.54,-5.57,4.63,-4.48,439.2,-432.9,-61.6,40.7,4.28,55325,1.65,696,-20
2026-01-19T17:05:00.000Z,51,51,2220,8.85,-5.85,4.15,-5.17,439.2,-432.9,-61.6,40.7,4.28,55325,1.65,749,-20
2026-01-19T17:06:00.000Z,99,51,999999,9999.99,9999.99,9999.99,9999.99,439.2,-432.9,-61.6,40.7,4.28,55325,1.65,764,-20
2026-01-19T17:07:00.000Z,51,99,2312,8.91,-5.98,4.00,-5.24,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,742,-20
2026-01-19T17:08:00.000Z,51,99,2399,8.86,-5.46,4.67,-5.19,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,671,-20
2026-01-19T17:09:00.000Z,51,99,2399,8.86,-5.46,4.67,-5.19,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,646,-21
2026-01-19T17:10:00.000Z,51,99,2490,8.91,-5.27,4.89,-5.25,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,657,-21
2026-01-19T17:11:00.000Z,51,99,2490,8.91,-5.27,4.89,-5.25,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,658,-22
2026-01-19T17:12:00.000Z,51,99,2586,8.92,-5.26,4.34,-5.70,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,640,-23
2026-01-19T17:13:00.000Z,99,99,999999,9999.99,9999.99,9999.99,9999.99,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,636,-24
2026-01-19T17:14:00.000Z,51,51,2712,8.85,-5.49,4.24,-5.47,449.1,-443.1,-53.2,50.2,4.03,48214,1.63,713,-24
2026-01-19T17:15:00.000Z,51,51,2712,8.85,-5.49,4.24,-5.47,449.1,-443.1,-53.2,50.2,4.03,48214,1.63,765,-24
2026-01-19T17:16:00.000Z,99,51,999999,9999.99,9999.99,9999.99,9999.99,449.1,-443.1,-53.2,50.2,4.03,48214,1.63,813,-23
2026-01-19T17:17:00.000Z,51,99,2849,8.77,-5.52,4.53,-5.09,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,816,-23
2026-01-19T17:18:00.000Z,51,99,2895,8.77,-5.85,3.76,-5.34,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,841,-24
2026-01-19T17:19:00.000Z,51,99,2905,8.71,-5.81,3.39,-5.52,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,838,-23
2026-01-19T17:20:00.000Z,51,99,2987,8.61,-5.46,3.58,-5.61,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,837,-23
2026-01-19T17:21:00.000Z,51,99,3047,8.50,-5.42,3.90,-5.25,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,839,-23
2026-01-19T17:22:00.000Z,51,51,2981,8.27,-5.62,2.68,-5.03,442.7,-437.0,-50.0,49.5,3.75,44563,1.47,833,-23
2026-01-19T17:23:00.000Z,51,51,3041,8.02,-5.44,2.90,-5.06,439.8,-433.7,-46.4,55.6,3.69,49041,1.43,800,-24
2026-01-19T17:24:00.000Z,51,51,3082,7.83,-5.85,2.91,-4.24,436.6,-430.0,-42.3,62.4,3.62,54051,1.38,808,-24
2026-01-19T17:25:00.000Z,51,99,2809,7.53,-6.54,-1.10,-3.54,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,850,-24
2026-01-19T17:26:00.000Z,51,99,3024,7.60,-6.41,0.89,-3.34,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,892,-24
2026-01-19T17:27:00.000Z,51,99,2929,7.55,-6.69,-1.38,-3.18,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,913,-24
2026-01-19T17:28:00.000Z,51,51,3260,7.59,-6.10,3.81,-2.42,412.6,-410.6,0.0,40.4,2.59,37420,0.88,909,-24
2026-01-19T17:29:00.000Z,51,51,2230,7.65,-5.74,1.17,-4.47,420.1,-416.8,-10.9,47.2,2.87,44889,1.01,883,-23
2026-01-19T17:30:00.000Z,51,51,1589,7.99,-5.92,1.45,-5.15,432.9,-427.5,-29.5,59.0,3.34,57668,1.25,857,-24
2026-01-19T17:31:00.000Z,51,99,1869,8.60,-6.12,1.75,-5.55,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,819,-24
2026-01-19T17:32:00.000Z,51,51,2525,7.74,-6.16,0.94,-4.24,413.8,-410.7,-8.3,49.4,2.72,48900,0.93,755,-24
2026-01-19T17:33:00.000Z,51,51,2616,7.92,-6.11,2.06,-4.08,415.2,-411.9,-15.3,47.1,2.77,46556,0.96,718,-25
2026-01-19T17:34:00.000Z,51,51,2811,7.77,-6.08,1.72,-4.17,423.4,-418.4,-55.3,34.1,3.03,33278,1.09,691,-25
2026-01-19T17:35:00.000Z,51,51,2590,8.13,-6.93,1.45,-3.60,423.4,-418.4,-55.3,34.1,3.03,33269,1.09,681,-25
2026-01-19T17:36:00.000Z,51,99,2783,7.88,-6.52,0.94,-3.72,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,691,-26
2026-01-19T17:37:00.000Z,51,99,2659,8.25,-6.35,1.22,-3.86,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,702,-26
2026-01-19T17:38:00.000Z,51,51,2742,8.60,-5.61,2.48,-2.06,417.2,-414.5,4.6,47.9,2.95,36851,1.03,697,-26
2026-01-19T17:39:00.000Z,51,51,1904,8.97,-4.56,6.63,0.19,417.2,-414.5,4.6,47.9,2.95,36851,1.03,685,-26
2026-01-19T17:40:00.000Z,51,99,2391,8.93,-6.01,3.52,1.04,99999.9,99999.9,99999.9,99999.9,999.99,9999999.0,99.99,664,-28
2026-01-19T17:41:00.000Z,51,51,1754,8.75,-7.55,3.15,-2.76,419.7,-413.9,-53.0,45.5,3.11,45986,1.10,600,-29
2026-01-19T17:42:00.000Z,51,51,2072,8.71,-6.49,2.24,-3.78,412.3,-409.5,-40.3,22.2,3.58,57818,1.22,604,-30
2026-01-19T17:43:00.000Z,51,51,1936,7.66,-5.70,3.66,-1.71,433.3,-428.8,-42.7,34.3,3.68,61712,1.38,625,-31
2026-01-19T17:44:00.000Z,51,51,1468,7.05,-5.13,4.14,-0.67,432.9,-427.7,-63.8,8.2,3.88,70955,1.45,581,-31
2026-01-19T17:45:00.000Z,51,51,1546,6.42,-4.86,2.69,-0.36,441.7,-437.3,-56.0,26.6,3.51,74879,1.37,550,-31
2026-01-19T17:46:00.000Z,51,51,1577,6.56,-5.00,2.53,-1.72,428.7,-424.3,-55.8,15.2,2.98,63586,1.10,570,-31
2026-01-19T17:47:00.000Z,51,51,1583,6.37,-5.13,1.72,-0.07,426.9,-421.7,-52.4,26.3,2.96,57848,1.08,607,-32
