EpochUTC,BR_daily_nT,BT_daily_nT,BN_daily_nT,PA_S1_deg,Flux_S1_3d,PA_S2_deg,Flux_S2_3d,PA_S3_deg,Flux_S3_3d,PA_S4_deg,Flux_S4_3d,PA_S5_deg,Flux_S5_3d,PA_S6_deg,Flux_S6_3d,PA_S7_deg,Flux_S7_3d,PA_S8_deg,Flux_S8_3d,PitchAngleMethod
2020-06-22 12:00:00,0.00960000013001263,-0.444300001859665,0.224799999594688,111.262201407451,NaN,156.262201407451,NaN,158.737798592549,NaN,113.737798592549,NaN,68.7377985925493,NaN,23.7377985925493,NaN,21.2622014074507,NaN,66.2622014074507,NaN,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-23 12:00:00,0.0130000000021287,-0.443000001566751,0.227714287383216,110.819116402823,0.187113334735235,155.819116402823,0.176300002882878,159.180883597177,0.177736672262351,114.180883597177,0.505666683117549,69.1808835971767,0.202173337340355,24.1808835971767,0.193393332262834,20.8191164028233,0.191530001660188,65.8191164028233,0.195833330353101,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-24 12:00:00,0.0107272727076303,-0.441636361859062,0.227909090844068,111.108568786942,0.266333336631457,156.108568786942,0.263999998569489,158.891431213058,0.253666674097379,113.891431213058,0.690000017484029,68.8914312130581,0.286333337426186,23.891431213058,0.284666667381922,21.108568786942,0.274666666984558,66.108568786942,0.284666662414869,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-25 12:00:00,0.0104545453901995,-0.439090912992304,0.224818179553205,111.136072488903,0.263333335518837,156.136072488903,0.267999996741613,158.863927511097,0.254666671156883,113.863927511097,0.687000016371409,68.8639275110972,0.280333335200946,23.8639275110972,0.293000002702077,21.1360724889028,0.287666668494542,66.1360724889028,0.293999994794528,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-26 12:00:00,0.00791666662553325,-0.438416672249635,0.224333334714174,111.465499437031,0.246333335836728,156.465499437031,0.245333328843117,158.534500562969,0.233333334326744,113.534500562969,0.618000010649363,68.5345005629693,0.246000001827876,23.5345005629693,0.261333336432775,21.4654994370307,0.261999999483426,66.4654994370307,0.270333329836528,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-27 12:00:00,0.00920000020414591,-0.441499999165535,0.224600000679493,111.306240299467,0.199333334962527,156.306240299467,0.202333331108093,158.693759700533,0.199999998013178,113.693759700533,0.552000006039937,68.6937597005331,0.209666669368744,23.6937597005331,0.213333333532015,21.3062402994669,0.223666667938232,66.3062402994669,0.230666662255923,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-28 12:00:00,0.0106363636864857,-0.440909095785835,0.220999999479814,111.118081192002,0.17533333102862,156.118081192002,0.165333330631256,158.881918807998,0.166666666666667,113.881918807998,0.472333331902822,68.8819188079977,0.170000001788139,23.8819188079977,0.170999998847644,21.1180811920023,0.169666667779287,66.1180811920023,0.179333334167798,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-29 12:00:00,NaN,NaN,NaN,NaN,0.164999996622403,NaN,0.160666664441427,NaN,0.160333335399628,NaN,0.461999992529551,NaN,0.162666668494542,NaN,0.158999999364217,NaN,0.158666670322418,NaN,0.159666667381922,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-30 12:00:00,0.00350000007310882,-0.440600001811981,0.223100000619888,112.04486833018,0.172333329916,157.04486833018,0.131999999284744,157.95513166982,0.129310001929601,112.95513166982,0.376999994119008,67.9551316698201,0.126666667560736,22.9551316698201,0.132000001768271,22.0448683301799,0.128333335121473,67.0448683301799,0.128000003596147,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-07-01 12:00:00,0.00533333345730272,-0.439444449212816,0.215888887643814,111.804661837657,0.123003331323465,156.804661837657,0.0904300001760324,158.195338162343,0.0831099996964137,113.195338162343,0.263999998569489,68.1953381623427,0.0903933346271515,23.1953381623427,0.0934366670747598,21.8046618376573,0.0942033330599467,66.8046618376573,0.0916166690488656,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-07-02 12:00:00,0.0108333333240201,-0.434916665156682,0.216833329449097,111.073115262192,0.0921533331274986,156.073115262192,0.0630466664830844,158.926884737808,0.0601200001935164,113.926884737808,0.193333332737287,68.9268847378079,0.0643300004303455,23.9268847378078,0.0696800003449122,21.0731152621921,0.0680866651237011,66.0731152621921,0.0658533349633217,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
