DateUTC,DOY,MAGHourlyRecords,BR_daily_nT,BT_daily_nT,BN_daily_nT,MeanAbsB_daily_nT,MagnitudeOfMeanVector_nT,BElevationDeg,BAzimuthDeg,P1NominalEnergy_MeV,FluxNormalizer,FitC0,FitC1,FitC2,ReducedChiSquare,LECPAveraging,MAGAveraging,FitMethod
2002-08-09,221,18,-0.0135555558113588,-0.0515555553138256,-0.00644444460825374,0.0546666665209664,0.053695989080942,-6.89309776401068,255.268593797113,0.730000019073486,0.138999998569489,0.314104301523166,0.339423640089579,0.202321263801965,41.4393061492739,LECP supplied 24-h daily average,arithmetic mean of valid COHO 1-h vectors in UTC day,weighted second-order polynomial in pitch cosine
2002-08-13,225,14,-0.0155000000127724,-0.0477857145347765,-0.0323571429720947,0.0606428576367242,0.0597554115985462,-32.7853384759132,252.028765959997,0.730000019073486,0.167999997735023,0.463935994456737,-0.280615564826001,0.20751035167909,4.55491909957465,LECP supplied 24-h daily average,arithmetic mean of valid COHO 1-h vectors in UTC day,weighted second-order polynomial in pitch cosine
