DateUTC,DOY,Sector,ActiveSector,UsedInPAD,DiskAngleDeg,ParticleUR,ParticleUT,PitchCosine_ScanPlaneB,PitchAngleDeg_ScanPlaneB,PitchCosine_FullB_Diagnostic,Flux_counts_per_MeV_cm2_s_sr,FluxUncertainty_1sigma,NormalizedIntensity,NormalizedUncertainty_1sigma,Quality
2002-08-09,221,1,1,1,112.5,0.923879532511287,0.38268343236509,-0.605035635232104,127.231406202887,-0.600662321021651,0.0377399995923042,0.00231199990957975,0.271510791228083,0.0166330930458531,valid active-sector daily average
2002-08-09,221,2,1,1,157.5,0.38268343236509,0.923879532511287,-0.99082208298529,172.231406202887,-0.983660229958421,0.023420000448823,0.00179000000935048,0.168489213596034,0.0128776980415264,valid active-sector daily average
2002-08-09,221,3,1,1,202.5,-0.38268343236509,0.923879532511287,-0.796198392424453,142.768593797113,-0.790443316952586,0.0205499995499849,0.00167599995620549,0.147841724902692,0.0120575537658558,valid active-sector daily average
2002-08-09,221,4,1,1,247.5,-0.923879532511287,0.38268343236509,-0.135172481921027,97.7685937971132,-0.134195429163101,0.0361899994313717,0.00219399994239211,0.260359710818843,0.0157841724098673,valid active-sector daily average
2002-08-09,221,5,1,1,292.5,-0.923879532511287,-0.38268343236509,0.605035635232104,52.7685937971132,0.600662321021651,0.0633200034499168,0.00286899995990098,0.455539597853032,0.0206402876937205,valid active-sector daily average
2002-08-09,221,6,1,1,337.5,-0.38268343236509,-0.923879532511287,0.99082208298529,7.76859379711319,0.983660229958421,0.114000000059605,0.00389300007373095,0.820143893761366,0.0280071950632774,valid active-sector daily average
2002-08-09,221,7,1,1,382.5,0.38268343236509,-0.923879532511287,0.796198392424453,37.2314062028868,0.790443316952586,0.138999998569489,0.00429299985989928,1,0.0308848913962624,valid active-sector daily average
2002-08-09,221,8,0,0,427.5,0.923879532511287,-0.38268343236509,0.135172481921027,82.2314062028868,0.134195429163101,0.00320499995723367,0.000653999974019825,0.0230575538864587,0.00470503583273693,excluded: S8 blocked by sun shield
2002-08-13,225,1,1,1,112.5,0.923879532511287,0.38268343236509,-0.649066196532321,130.471234040003,-0.545673323128864,0.111000001430511,0.00455600023269653,0.660714303136987,0.0271190493697651,valid active-sector daily average
2002-08-13,225,2,1,1,157.5,0.38268343236509,0.923879532511287,-0.996877816861166,175.471234040003,-0.838080359116332,0.167999997735023,0.0058699999935925,1,0.0349404766234039,valid active-sector daily average
2002-08-13,225,3,1,1,202.5,-0.38268343236509,0.923879532511287,-0.760731932101622,139.528765959997,-0.639551287091966,0.135000005364418,0.00525199994444847,0.803571471336241,0.031261904852714,valid active-sector daily average
2002-08-13,225,4,1,1,247.5,-0.923879532511287,0.38268343236509,-0.0789595988472366,94.5287659599968,-0.0663817449222963,0.0904200002551079,0.00422400003299117,0.538214294488992,0.0251428576782092,valid active-sector daily average
2002-08-13,225,5,1,1,292.5,-0.923879532511287,-0.38268343236509,0.649066196532321,49.5287659599968,0.545673323128864,0.0561899989843369,0.00332699995487928,0.33446428417792,0.0198035714269875,valid active-sector daily average
2002-08-13,225,6,1,1,337.5,-0.38268343236509,-0.923879532511287,0.996877816861166,4.52876595999674,0.838080359116332,0.0654899999499321,0.00359200011007488,0.389821433528979,0.0213809533244181,valid active-sector daily average
2002-08-13,225,7,1,1,382.5,0.38268343236509,-0.923879532511287,0.760731932101622,40.4712340400032,0.639551287091966,0.0670699998736382,0.0036359999794513,0.399226195106405,0.0216428573123325,valid active-sector daily average
2002-08-13,225,8,0,0,427.5,0.923879532511287,-0.38268343236509,0.0789595988472366,85.4712340400032,0.0663817449222963,0.00457900017499924,0.00100899999961257,0.0272559537900794,0.00600595245961852,excluded: S8 blocked by sun shield
