B_north                 B_east                 B_down                 dB_north                 dB_east                 dB_down
16165.034435887086     -2116.1157412096754     39927.26807459674     0.005064112914624275     0.03704120967540803     -0.020474596734857187     
16164.44482352335     -2116.077249568964     39928.01664755002     0.001176476649561664     0.04634956896370568     -0.011447550023149233     
16163.855373155086     -2116.040043008897     39928.764964081485     0.0032268449140246958     0.001243008897290565     0.006335918515105732     
16163.266084782292     -2116.004121529476     39929.51302419114     0.02001521770762338     -0.018378470524112345     -0.0013241911365184933     
16162.676958404969     -2115.9694851306995     39930.26082787897     0.028441595031836187     -0.004714869300642022     0.0168721210284275     
16162.087994023115     -2115.936133812568     39931.00837514498     -0.03919402311476006     0.02713381256808134     0.053524855022260454     
16161.499191636734     -2115.9040675750825     39931.75566598917     -0.06209163673520379     -0.034232424917263415     0.00903401082905475     
16160.910551245825     -2115.8732864182416     39932.50270041155     -0.007351245823883801     -0.069213581758504     0.01559958845609799     
16160.322072850387     -2115.843790342046     39933.24947841211     0.005927149612034555     -0.038009657954262366     0.011021587888535578     
16159.73375645042     -2115.8155793464953     39933.995999990846     0.010843549580386025     0.006379346495123173     -0.02539999084547162     
16159.145602045923     -2115.7886534315903     39934.74226514777     0.03379795407818165     0.007853431590319815     -0.04416514776676195     
16158.557609636897     -2115.76301259733     39935.488273882875     0.020990363103919663     -0.026287402669822768     -0.03237388287379872     
16157.969779223342     -2115.738656843715     39936.23402619616     0.01722077665726829     -0.03614315628510667     -0.02182619615632575     
16157.382110805258     -2115.7155861707447     39936.979522087626     -0.00821080525747675     -0.002113829255449673     0.0064779123713378794     
16156.794604382647     -2115.69380057842     39937.72476155727     -0.036104382646954036     -0.01059942158008198     0.011638442731054965     
16155.913973615576     -2115.6607246427925     39938.84149113716     0.24002638442470925     -0.01677535720727974     -0.40249113715981366     
16155.329603102175     -2115.6374277008276     39939.58474153894     0.2864968978246907     0.009427700827473018     -0.34424153894360643     
16154.7447433254     -2115.6184988615414     39940.329423681804     0.29525667460075056     0.016298861541599763     -0.3131236818007892     
16154.159921294144     -2115.6033537945773     39941.07218819073     0.29727870585702476     -0.014546205422902858     -0.3708881907296018     
16153.575518280752     -2115.58946712047     39941.81473182912     0.3422817192476941     -0.01933287952988394     -0.4267318291240372     
16152.985708838783     -2115.574544397256     39942.5606889943     0.3289911612173455     0.03474439725596312     -0.401088994301972     
16152.394467097713     -2115.5639398883277     39943.30567227556     0.33133290228761325     0.025439888327582594     -0.33367227555572754     
16151.805504240574     -2115.5565189954696     39944.048847208585     0.2881957594254345     -0.002081004530282371     -0.3574472085820162     
16151.21672296825     -2115.5506631695775     39944.791980422866     0.22917703174971393     0.014163169577386725     -0.3423804228659719     
16150.629852477177     -2115.544546205292     39945.533341025555     0.2691475228220952     0.003346205292018567     -0.3385410255577881     
16150.043843816464     -2115.5378400668988     39946.275335244296     0.30775618353618484     0.004740066898648365     -0.3804352442966774     
16149.456350111115     -2115.5324125892203     39947.018047766614     0.29724988888483495     0.036512589220365044     -0.3877477666173945     
16148.867589687     -2115.5277077454703     39947.75757736484     0.28551031299866736     -0.02089225452982646     -0.38197736484289635     
16148.277143303072     -2115.5228144865414     39948.500006963055     0.29835669692874944     -0.05498551345863234     -0.3726069630574784     
16147.68602611557     -2115.5201021204707     39949.245765690735     0.3506738844298525     -0.028397879529165948     -0.37416569073684514     
16147.094435780751     -2115.519076897256     39949.99071234252     0.32146421924880997     -0.015723102743777417     -0.3902123425214086     
