Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,SourceCDF,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2013-10-01,2013-10-01,2013-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\10\voyager1_coho1hr_merged_mag_plasma_20131001_v01.cdf,744,330,0,3,865,15,7650,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-10.png,ok,
1,2013-11-01,2013-11-01,2013-12-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\11\voyager1_coho1hr_merged_mag_plasma_20131101_v01.cdf,720,230,0,3,642,15,7380,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-11.png,ok,
1,2013-12-01,2013-12-01,2014-01-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\12\voyager1_coho1hr_merged_mag_plasma_20131201_v01.cdf,744,234,0,3,663,15,6300,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-12.png,ok,
1,2014-01-01,2014-01-01,2014-02-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\01\voyager1_coho1hr_merged_mag_plasma_20140101_v01.cdf,744,217,0,3,642,15,6120,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-01.png,ok,
1,2014-02-01,2014-02-01,2014-03-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\02\voyager1_coho1hr_merged_mag_plasma_20140201_v01.cdf,672,192,0,3,523,15,5670,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-02.png,ok,
1,2014-03-01,2014-03-01,2014-04-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\03\voyager1_coho1hr_merged_mag_plasma_20140301_v01.cdf,744,245,0,3,621,15,6120,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-03.png,ok,
1,2014-04-01,2014-04-01,2014-05-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\04\voyager1_coho1hr_merged_mag_plasma_20140401_v01.cdf,720,334,0,3,921,15,7020,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-04.png,ok,
1,2014-05-01,2014-05-01,2014-06-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\05\voyager1_coho1hr_merged_mag_plasma_20140501_v01.cdf,744,325,0,3,1035,15,7920,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-05.png,ok,
1,2014-06-01,2014-06-01,2014-07-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\06\voyager1_coho1hr_merged_mag_plasma_20140601_v01.cdf,720,320,0,3,943,15,7200,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-06.png,ok,
1,2014-07-01,2014-07-01,2014-08-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\07\voyager1_coho1hr_merged_mag_plasma_20140701_v01.cdf,744,327,0,3,928,15,7830,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-07.png,ok,
