EventID,EventStartUTC,EventEndUTCInclusive,PlotStartUTC,PlotEndUTCExclusive,MAG1hSourceFileCount,MAG1hRecords,MAGDailyMeanDays,COHOSourceFileCount,COHORecords,DirectPlasmaVariables,FigureFile,PitchAngleDataFile,Status,Notes
2002-DOY221,2002-08-09,2002-08-09,2002-08-04,2002-08-15,1,191,11,1,264,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_2002_DOY221_225_PitchAngle_Spectrograms\V1_2002-DOY221_20020809_20020809_MAG1h_LECPdaily_LECP_P1_pitch_angle_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Event_Data\derived\lecp_pitch_angle_daily\V1_2002-DOY221_20020809_20020809_LECP_P1_nominalRT_pitch_angle_1d.csv,ok,
2002-DOY225,2002-08-13,2002-08-13,2002-08-08,2002-08-19,1,162,11,1,264,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_2002_DOY221_225_PitchAngle_Spectrograms\V1_2002-DOY225_20020813_20020813_MAG1h_LECPdaily_LECP_P1_pitch_angle_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Event_Data\derived\lecp_pitch_angle_daily\V1_2002-DOY225_20020813_20020813_LECP_P1_nominalRT_pitch_angle_1d.csv,ok,
