TimeUTC,B_NullDistance_km,B_NullDistance_L,B_Type,B_Eta_percent,B_Xi_percent,B_Good,B_Near,V_NullDistance_km,V_NullDistance_L,V_Type,V_Alpha_percent,V_Good,V_Near,ScrewAgreement
2015-10-01T18:01:24.008474Z,5007.163415646176,161.6982601104353,Bs,12.833656264412307,45.583737919952846,False,False,617.9169266868064,19.954629726249866,B,559.7321482582156,False,False,
2015-10-01T18:01:24.158474Z,5655.135695976013,182.62269076360454,Bs,12.701668352641882,44.59163447318458,False,False,639.955022133759,20.666225249539067,B,17.059113280721988,True,False,
2015-10-01T18:01:24.308474Z,6763.932236938155,218.42819338627652,Bs,11.619001399113209,41.24334193706926,False,False,681.6417355677421,22.012309943564162,B,33.970936374663665,True,False,
2015-10-01T18:01:24.458474Z,7075.412907592878,228.48638293960954,Bs,11.772190781630592,46.729163739247106,False,False,668.8881062412527,21.60041060252184,B,23.094090348335648,True,False,
2015-10-01T18:01:24.608474Z,7466.489508912435,241.11491703168272,Bs,11.580867589094122,50.65826878576772,False,False,577.7841510239134,18.65835041622449,B,14.10430277483138,True,False,
2015-10-01T18:01:24.758474Z,7434.924048606567,240.0950708901641,Bs,11.37945705315505,50.44895591836908,False,False,501.97478172773134,16.210208741349838,B,4.892275730537308,True,False,
2015-10-01T18:01:24.908474Z,7382.973911995667,238.416950611499,Bs,11.149387589850855,50.09496252131574,False,False,465.6071487308394,15.035761727798798,B,3.426423199706418,True,False,
2015-10-01T18:01:25.058481Z,9057.514359607438,292.4919471701247,Bs,11.067745144351532,52.27487039380339,False,False,454.50448344666546,14.677194656595455,B,2.5079923859676247,True,False,
2015-10-01T18:01:25.208481Z,10048.567120121079,324.4950733613435,Bs,10.651132613678419,54.80252858301399,False,False,414.9332948054966,13.399304431013364,B,3.6095608517377165,True,False,
2015-10-01T18:01:25.358481Z,10174.209559007784,328.55171284961176,Bs,9.85653937307154,56.02751559928717,False,False,389.06050142293833,12.563776419511964,B,5.588820902737254,True,False,
2015-10-01T18:01:25.508481Z,11418.069381736066,368.718409730254,Bs,10.116149272799221,61.11707025563912,False,False,374.23293947203166,12.084930446431187,B,14.89904785256958,True,False,
2015-10-01T18:01:25.658481Z,15715.035255509276,507.47726580429566,Bs,10.202352038345346,72.12770670556606,False,False,358.7157059709887,11.583815289462782,B,4.908993701718683,True,False,
2015-10-01T18:01:25.808481Z,34617.42680820827,1117.879781963647,Bs,9.900161829243032,76.55078119020028,False,False,355.4231790765019,11.477467349960744,B,27.25121959152728,True,False,
2015-10-01T18:01:25.958481Z,75998.55355886239,2454.1705078115015,As,9.148915988252552,111.34592571124884,False,False,371.40228042711055,11.993445670675674,B,27.007455470485617,True,False,
2015-10-01T18:01:26.108486Z,21452.69819737442,692.7561921612319,As,8.482013104263178,72.45514527988469,False,False,384.0360023903062,12.401391947111394,B,77.02233912980208,False,False,
2015-10-01T18:01:26.258486Z,12350.482875756863,398.82421443713827,As,7.787769825431952,55.990128139290036,False,False,362.02168258183235,11.690475151244822,B,108.99058851029413,False,False,
2015-10-01T18:01:26.408486Z,9220.909374088273,297.7627875116829,As,7.864833311232186,55.581905155593596,False,False,348.4667883525216,11.252734198501965,B,138.0357952683741,False,False,
2015-10-01T18:01:26.558486Z,8497.705925407496,274.4084322873804,As,7.53716757218471,52.17059362797086,False,False,371.55104265858836,11.998148679850395,B,96.67747798658488,False,False,
2015-10-01T18:01:26.708486Z,7751.03053494496,250.29621945988123,As,6.8604558750892615,47.75296869366478,False,False,371.6812825755596,12.002329168133384,B,218.1828849695475,False,False,
2015-10-01T18:01:26.858486Z,7411.228251033046,239.322823650018,As,6.751951410101358,50.48142085922065,False,False,371.16018807062113,11.98547679639353,B,209.60178375793072,False,False,
2015-10-01T18:01:27.008493Z,7498.70872779028,242.14722761328952,As,6.673645018943483,48.547691334753424,False,False,354.19836160437444,11.437722733490256,B,30.63976258101313,True,False,
2015-10-01T18:01:27.158493Z,8457.727289898094,273.1151435161694,As,6.642017751922233,49.28823369446208,False,False,333.3895667903551,10.76574548454594,B,139.54734410178673,False,False,
2015-10-01T18:01:27.308493Z,8435.886214033271,272.4092835122369,As,6.716306172551153,47.345385881364074,False,False,308.81852175378606,9.972281525835813,B,8.045334177615494,True,False,
2015-10-01T18:01:27.458493Z,7070.055689707236,228.30378547471858,As,7.111938296077048,46.079298094709685,False,False,302.4668411920801,9.767154299118669,B,107.10485600828213,False,False,
2015-10-01T18:01:27.608493Z,6608.137200400975,213.3872253286254,As,7.11207047732484,41.395148206799306,False,False,294.7924297512854,9.519314857550702,B,72.34947717218357,False,False,
2015-10-01T18:01:27.758493Z,6743.222561465575,217.74888805215988,As,6.9053963450402875,38.11940386309291,True,False,279.6697368493202,9.030960147864983,B,5.174286647679029,True,False,
2015-10-01T18:01:27.908493Z,7098.388983884974,229.2172688937313,As,7.127658320670396,37.20976264037624,True,False,264.34788845445473,8.536176471438173,Bs,47.355453083284935,False,False,
2015-10-01T18:01:28.058499Z,7821.957322479724,252.58180832873668,As,6.756162249605768,35.783137142164385,True,False,253.14926681514748,8.17453956255967,Bs,45.930561682111325,False,False,
2015-10-01T18:01:28.208499Z,8380.895147696023,270.630113997369,As,6.286409335379223,33.785716992665684,True,False,247.2243051842771,7.98319758401158,Bs,35.83415661795153,True,False,-1.0
2015-10-01T18:01:28.358499Z,9690.656829496744,312.92338146724813,As,5.741596772703417,29.700042719169076,True,False,251.01582431607565,8.105613678082776,Bs,27.621935251361048,True,False,-1.0
2015-10-01T18:01:28.508499Z,11008.17860123996,355.46705355376184,As,5.518941161363594,27.654385541361957,True,False,271.44262662604166,8.765202145683249,Bs,51.25169097106718,False,False,
2015-10-01T18:01:28.658499Z,11854.655315718202,382.799978989006,As,5.62406072277409,26.792639011954453,True,False,286.34578939208154,9.246423387573486,Bs,180.8825279280971,False,False,
2015-10-01T18:01:28.808499Z,10521.940965655085,339.76443901421925,As,5.938621139963684,27.73430437781404,True,False,356.11911807091946,11.499457445023912,Bs,190.93394196559225,False,False,
2015-10-01T18:01:28.958499Z,10824.905480599266,349.54674407582706,As,6.130048199060426,29.083824665681426,True,False,369.6836391069273,11.937444869105299,Bs,69.5447504557112,False,False,
2015-10-01T18:01:29.108507Z,10898.90211538444,351.9354275772868,As,6.497343688970791,31.741973909896284,True,False,359.354702640555,11.603889051099298,Bs,112.58053626242128,False,False,
2015-10-01T18:01:29.258507Z,10759.547303423651,347.43480395806796,As,6.706991498833594,30.913377614363387,True,False,389.51239523213155,12.577681835522162,Bs,97.92259213430435,False,False,
2015-10-01T18:01:29.408507Z,10978.453568250381,354.5027254886087,As,6.429779295725548,28.956628181721335,True,False,482.4559402651412,15.578874081754577,Bs,60.8233771563235,False,False,
2015-10-01T18:01:29.558507Z,10978.15348434285,354.49229025236843,As,6.266498853335804,27.361881200437196,True,False,539.674209564702,17.426459450724252,Bs,45.823236034819175,False,False,
2015-10-01T18:01:29.708507Z,11717.814368648675,378.37566443867706,As,6.087880934523503,25.95436205693699,True,False,579.7720511433722,18.721207571036693,Bs,29.092520505021923,True,False,-1.0
2015-10-01T18:01:29.858507Z,12868.058496552547,415.5169038827388,As,6.236001270193711,26.07659714037908,True,False,583.7918630154757,18.850970214124708,Bs,36.95124091325958,True,False,-1.0
