EpochUTC,BR_hourly_nT,BT_hourly_nT,BN_hourly_nT,PA_S1_deg,Flux_S1_1h,PA_S2_deg,Flux_S2_1h,PA_S3_deg,Flux_S3_1h,PA_S4_deg,Flux_S4_1h,PA_S5_deg,Flux_S5_1h,PA_S6_deg,Flux_S6_1h,PA_S7_deg,Flux_S7_1h,PA_S8_deg,Flux_S8_1h,PitchAngleMethod
2020-06-22 00:15:22,0.00800000037997961,-0.444999992847443,0.225999996066093,111.470074393751,0.0627700015902519,156.470074393751,0.0454099997878075,158.529925606249,0.0694399997591972,113.529925606249,0.189999997615814,68.5299256062492,0.0854699984192848,23.5299256062492,0.0640999972820282,21.4700743937508,0.048080001026392,66.4700743937508,0.0801300033926964,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 01:03:22,0.00899999961256981,-0.442999988794327,0.225999996066093,111.336137518992,0.0761199966073036,156.336137518992,0.0747900009155273,158.663862481008,0.0694399997591972,113.663862481008,0.225999996066093,68.6638624810078,0.0747900009155273,23.6638624810078,0.0676599964499474,21.3361375189922,0.0747900009155273,66.3361375189922,0.0534199997782707,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 02:20:10,0.00700000021606684,-0.44200000166893,0.223000004887581,111.592676603721,NaN,156.592676603721,0.0587599985301495,158.407323396279,0.0988200008869171,113.407323396279,0.19200000166893,68.4073233962795,0.0721200034022331,23.4073233962794,0.0881400033831596,21.5926766037206,0.0828000009059906,66.5926766037205,0.0721200034022331,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 03:04:58,0.00800000037997961,-0.453999996185303,0.215000003576279,111.490487160964,0.0640999972820282,156.490487160964,NaN,158.509512839036,NaN,113.509512839036,NaN,68.5095128390363,NaN,23.5095128390364,NaN,21.4904871609637,NaN,66.4904871609637,NaN,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 06:32:58,0.00400000018998981,-0.441000014543533,0.224000006914139,111.98032463332,0.0267099998891354,156.98032463332,0.0160300005227327,158.01967536668,0.0640999972820282,113.01967536668,0.118000000715256,68.0196753666799,0.048080001026392,23.0196753666799,0.0427399985492229,21.9803246333201,0.0213699992746115,66.9803246333201,0.0454099997878075,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 07:01:46,0.00899999961256981,-0.444000005722046,0.228000000119209,111.338758156623,0.0534199997782707,156.338758156623,0.0213699992746115,158.661241843377,0.0409500002861023,113.661241843377,0.138999998569489,68.6612418433774,0.0516400001943111,23.6612418433774,0.0267099998891354,21.3387581566226,0.0534199997782707,66.3387581566226,0.024040000513196,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 08:18:34,0.0130000002682209,-0.444000005722046,0.225999996066093,110.822899993588,0.0454099997878075,155.822899993588,0.0587599985301495,159.177100006412,0.048080001026392,114.177100006412,0.158000007271767,69.1771000064118,0.0640999972820282,24.1771000064118,0.0560900010168552,20.8228999935882,0.0400599986314774,65.8228999935882,0.0427399985492229,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 09:09:46,0.0109999999403954,-0.444000005722046,0.226999998092651,111.080800308755,0.0801300033926964,156.080800308755,0.0828000009059906,158.919199691245,0.048080001026392,113.919199691245,0.256000012159348,68.9191996912445,0.0828000009059906,23.9191996912445,0.0801300033926964,21.0808003087555,0.112000003457069,66.0808003087555,0.061429999768734,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 10:00:58,0.0130000002682209,-0.448000013828278,0.226999998092651,110.837865693157,0.0828000009059906,155.837865693157,0.0640999972820282,159.162134306843,0.0712300017476082,114.162134306843,0.215000003576279,69.1621343068427,0.0836900025606155,24.1621343068426,0.0925899967551231,20.8378656931573,0.0694399997591972,65.8378656931574,0.0601000003516674,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-22 11:17:46,0.0140000004321337,-0.437999993562698,0.225999996066093,110.669251268616,0.184000000357628,155.669251268616,NaN,159.330748731384,NaN,114.330748731384,NaN,69.3307487313845,NaN,24.3307487313845,0.0747900009155273,20.6692512686155,0.048080001026392,65.6692512686155,NaN,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-23 04:53:46,0.0130000002682209,-0.446000009775162,0.224000006914139,110.830416370335,NaN,155.830416370335,NaN,159.169583629665,NaN,114.169583629665,0.513000011444092,69.1695836296648,0.24600000679493,24.1695836296648,0.138999998569489,20.8304163703352,0.187000006437302,65.8304163703352,0.19200000166893,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
2020-06-23 05:12:58,0.00999999977648258,-0.442999988794327,0.231000006198883,111.206861154874,0.282999992370605,156.206861154874,0.331000000238419,158.793138845126,0.301999986171722,113.793138845126,0.880999982357025,68.7931388451261,0.270000010728836,23.7931388451261,0.250999987125397,21.2068611548739,0.23199999332428,66.2068611548739,0.256000012159348,particle entering along nominal RT scan-plane sector axis; B projected into scan plane; no SEDR attitude correction
